,date,departure_delay,arrival_delay,open,high,low,close,volume,state,city,success,suicide
341,2015-12-08,0.36,-7.04,83.68,84.86,82.91,84.1,2386487019.0,North Dakota,Grand Forks,1.0,0.0
342,2015-12-09,1.13,-5.87,83.79,84.92,82.61,83.31,2526096469.0,,,,
343,2015-12-10,4.41,-1.64,83.39,84.37,82.69,83.48,2085765987.0,,,,
344,2015-12-11,3.62,-2.49,82.49,83.32,81.45,81.97,2548793349.0,California,Coachella,1.0,0.0
345,2015-12-12,3.82,-3.43,,,,,,,,,
346,2015-12-13,7.66,1.23,,,,,,,,,
347,2015-12-14,11.4,5.86,82.04,82.95,80.91,82.24,2708273621.0,,,,
348,2015-12-15,9.97,3.18,82.86,83.97,82.17,83.04,2567468526.0,,,,
349,2015-12-16,6.4,0.92,83.54,84.67,82.55,84.2,2629637604.0,,,,
350,2015-12-17,11.16,6.85,84.35,84.76,82.7,82.98,2392717817.0,,,,
351,2015-12-18,14.06,9.45,82.63,83.22,81.39,81.71,4124454411.0,,,,
352,2015-12-19,10.55,3.41,,,,,,,,,
353,2015-12-20,10.5,3.86,,,,,,,,,
354,2015-12-21,14.84,9.9,82.26,82.95,81.27,82.23,2065200787.0,,,,
355,2015-12-22,16.03,12.55,82.56,83.37,81.71,82.84,1938470191.0,,,,
356,2015-12-23,22.95,20.76,83.3,84.17,82.68,83.81,1961144932.0,,,,
357,2015-12-24,22.03,16.51,83.73,84.23,83.28,83.7,736263173.0,,,,
358,2015-12-25,8.12,1.5,,,,,,,,,
359,2015-12-26,17.04,12.91,,,,,,California,Tracy,1.0,0.0
360,2015-12-27,31.05,28.2,,,,,,,,,
361,2015-12-28,29.02,24.51,83.43,84.03,82.78,83.68,1345470298.0,,,,
362,2015-12-29,32.3,26.3,84.16,85.03,83.74,84.55,1381510021.0,,,,
363,2015-12-30,30.44,26.17,84.38,84.85,83.71,83.97,1196763384.0,,,,
364,2015-12-31,8.45,0.87,83.64,84.27,82.94,83.21,1463928964.0,,,,
